pl_hostname,ra,dec,Planet Name,st_dist,pl_orbper,pl_bmassj,st_teff,pl_discmethod,st_optmag,tr_midp_jd,pl_trandur
HD 219134,348.32074,57.168354,hd219134b,6.55,3.092926,0.01491,4699.0,Radial Velocity,5.57,2458203.037,0.039375
GJ 436,175.546219,26.70657,gj436b,10.23,2.64388312,0.07,,Radial Velocity,10.67,2458201.662,
TRAPPIST-1,346.622013,-5.041274,trappist1c,12.1,2.4218233,0.00434,2559.0,Transit,18.8,2458203.1,0.029425
TRAPPIST-1,346.622013,-5.041274,trappist1e,12.1,6.099615,0.00195,2559.0,Transit,18.8,2458203.244,0.0397292
55 Cnc,133.149216,28.330818,55cnce,12.53,0.736539,0.02542,5196.0,Radial Velocity,5.96,2458202.628,
55 Cnc,133.149216,28.330818,55cnce,12.53,0.736539,0.02542,5196.0,Radial Velocity,5.96,2458203.365,
55 Cnc,133.149216,28.330818,55cnce,12.53,0.736539,0.02542,5196.0,Radial Velocity,5.96,2458202.628,
55 Cnc,133.149216,28.330818,55cnce,12.53,0.736539,0.02542,5196.0,Radial Velocity,5.96,2458203.365,
HD 189733,300.182129,22.710854,hd189733b,19.25,2.2185752,,4875.0,Radial Velocity,7.67,2458201.878,0.075152
GJ 3470,119.774349,15.391492,gj3470b,25.2,3.3366487,0.043,3652.0,Radial Velocity,12.33,2458202.576,
HIP 57274,176.170685,30.959293,hip57274b,25.87,8.1352,0.0365,,Radial Velocity,8.98,2458201.663,0.1283333
Kepler-444,289.752289,41.634605,kepler444b,35.7,3.6001053,,5046.0,Transit,8.88,2458202.755,
Kepler-444,289.752289,41.634605,kepler444c,35.7,4.5458841,,5046.0,Transit,8.88,2458201.191,
HAT-P-11,297.709351,48.080856,hatp11b,38.0,4.8878162,0.081,4780.0,Transit,9.472,2458203.324,0.0957
Kepler-42,292.219033,44.61916,kepler42c,38.7,0.45328509,,3068.0,Transit,16.124,2458201.965,
Kepler-42,292.219033,44.61916,kepler42c,38.7,0.45328509,,3068.0,Transit,16.124,2458202.872,
Kepler-42,292.219033,44.61916,kepler42c,38.7,0.45328509,,3068.0,Transit,16.124,2458201.965,
Kepler-42,292.219033,44.61916,kepler42b,38.7,1.2137672,,3068.0,Transit,16.124,2458202.974,
Kepler-42,292.219033,44.61916,kepler42b,38.7,1.2137672,,3068.0,Transit,16.124,2458201.76,
Kepler-42,292.219033,44.61916,kepler42d,38.7,1.865169,,3068.0,Transit,16.124,2458202.853,
Kepler-42,292.219033,44.61916,kepler42c,38.7,0.45328509,,3068.0,Transit,16.124,2458202.872,
Kepler-42,292.219033,44.61916,kepler42b,38.7,1.2137672,,3068.0,Transit,16.124,2458201.76,
Kepler-42,292.219033,44.61916,kepler42b,38.7,1.2137672,,3068.0,Transit,16.124,2458202.974,
HD 3167,8.739684,4.381469,hd3167b,45.8,0.959641,0.01579,5261.0,Transit,8.94,2458202.392,0.0675833
HD 3167,8.739684,4.381469,hd3167b,45.8,0.959641,0.01579,5261.0,Transit,8.94,2458203.352,0.0675833
HD 3167,8.739684,4.381469,hd3167b,45.8,0.959641,0.01579,5261.0,Transit,8.94,2458202.392,0.0675833
HD 3167,8.739684,4.381469,hd3167b,45.8,0.959641,0.01579,5261.0,Transit,8.94,2458203.352,0.0675833
WASP-69,315.025778,-5.094404,wasp69b,50.0,3.8681382,0.26,4715.0,Transit,9.87,2458201.233,0.0929
Kepler-1651,283.628354,48.391022,kepler1651b,69.4,9.87863917,,3713.0,Transit,13.496,2458201.728,
Kepler-1308,285.928896,38.520962,kepler1308b,73.0,2.10433812,,3468.0,Transit,14.488,2458202.787,0.04595
K2-122,126.476311,20.35957,k2122b,74.0,2.219405,,3993.36,Transit,13.15,2458202.704,
WASP-43,154.908372,-9.806276,wasp43b,80.0,0.813475,1.78,4400.0,Transit,12.4,2458202.76,0.0483
HAT-P-22,155.681719,50.128345,hatp22b,82.0,3.21222,2.147,5302.0,Transit,9.732,2458203.472,0.1196
WASP-10,348.992912,31.462852,wasp10b,90.0,3.0927616,3.15,4675.0,Transit,12.7,2458202.157,0.0928
Kepler-21,287.361816,38.714016,kepler21b,113.0,2.78578,0.01598,6305.0,Transit,8.25,2458202.752,0.1496
WASP-33,36.712746,37.550484,wasp33b,116.14,1.2198669,4.1,7430.0,Transit,8.142,2458202.203,
WASP-33,36.712746,37.550484,wasp33b,116.14,1.2198669,4.1,7430.0,Transit,8.142,2458203.423,
WASP-33,36.712746,37.550484,wasp33b,116.14,1.2198669,4.1,7430.0,Transit,8.142,2458203.423,
WASP-33,36.712746,37.550484,wasp33b,116.14,1.2198669,4.1,7430.0,Transit,8.142,2458202.203,
Kepler-446,282.250207,44.921102,kepler446b,120.0,1.565409,,3359.0,Transit,16.257,2458203.179,0.0269
WASP-74,304.538823,-1.075676,wasp74b,120.0,2.13775,0.95,5970.0,Transit,9.7,2458202.128,0.0955
KELT-7,78.295532,33.318165,kelt7b,129.0,2.7347749,1.28,6789.0,Transit,8.54,2458201.203,0.1463
Kepler-68,291.032305,49.040272,kepler68b,135.0,5.39875,0.01878,5793.0,Transit,9.99,2458202.918,
HAT-P-3,206.094121,48.028667,hatp3b,138.0,2.899736,0.591,5185.0,Transit,11.577,2458202.997,0.0865
WASP-52,348.494748,8.761262,wasp52b,140.0,1.7497798,0.46,5000.0,Transit,12.0,2458201.378,0.0754
WASP-52,348.494748,8.761262,wasp52b,140.0,1.7497798,0.46,5000.0,Transit,12.0,2458203.128,0.0754
WASP-52,348.494748,8.761262,wasp52b,140.0,1.7497798,0.46,5000.0,Transit,12.0,2458201.378,0.0754
WASP-156,32.781708,2.418,wasp156b,140.0,3.836169,0.128,4910.0,Transit,11.6,2458203.146,0.1004167
WASP-52,348.494748,8.761262,wasp52b,140.0,1.7497798,0.46,5000.0,Transit,12.0,2458203.128,0.0754
XO-2 N,117.026968,50.2258,xo2nb,145.5,2.61585922,0.597,5332.0,Transit,11.138,2458202.333,
Kepler-732,283.732021,45.958771,kepler732c,150.0,0.89304124,,3631.0,Transit,15.073,2458201.243,0.046008
Kepler-732,283.732021,45.958771,kepler732c,150.0,0.89304124,,3631.0,Transit,15.073,2458201.243,0.046008
Kepler-732,283.732021,45.958771,kepler732c,150.0,0.89304124,,3631.0,Transit,15.073,2458202.136,0.046008
Kepler-732,283.732021,45.958771,kepler732c,150.0,0.89304124,,3631.0,Transit,15.073,2458201.243,0.046008
Kepler-732,283.732021,45.958771,kepler732c,150.0,0.89304124,,3631.0,Transit,15.073,2458203.029,0.046008
Kepler-732,283.732021,45.958771,kepler732c,150.0,0.89304124,,3631.0,Transit,15.073,2458202.136,0.046008
Kepler-732,283.732021,45.958771,kepler732b,150.0,9.46781405,,3631.0,Transit,15.073,2458202.07,0.101821
Kepler-617,283.74071,47.516293,kepler617b,150.0,1.68269615,,3712.0,Transit,14.818,2458202.258,0.0575
Kepler-732,283.732021,45.958771,kepler732c,150.0,0.89304124,,3631.0,Transit,15.073,2458202.136,0.046008
Kepler-732,283.732021,45.958771,kepler732c,150.0,0.89304124,,3631.0,Transit,15.073,2458203.029,0.046008
Kepler-732,283.732021,45.958771,kepler732c,150.0,0.89304124,,3631.0,Transit,15.073,2458203.029,0.046008
CoRoT-7,100.956125,-1.063033,corot7b,153.7,0.85359159,0.018,5259.0,Transit,11.668,2458203.389,0.0441
CoRoT-7,100.956125,-1.063033,corot7b,153.7,0.85359159,0.018,5259.0,Transit,11.668,2458202.535,0.0441
CoRoT-7,100.956125,-1.063033,corot7b,153.7,0.85359159,0.018,5259.0,Transit,11.668,2458203.389,0.0441
CoRoT-7,100.956125,-1.063033,corot7b,153.7,0.85359159,0.018,5259.0,Transit,11.668,2458202.535,0.0441
WASP-14,218.276477,21.894714,wasp14b,160.0,2.243752,7.341,6475.0,Transit,9.75,2458201.667,0.1275
Kepler-1446,289.42396,46.72617,kepler1446b,162.0,0.68996783,,4865.0,Transit,12.411,2458201.274,0.050563
Kepler-1446,289.42396,46.72617,kepler1446b,162.0,0.68996783,,4865.0,Transit,12.411,2458201.964,0.050563
Kepler-1446,289.42396,46.72617,kepler1446b,162.0,0.68996783,,4865.0,Transit,12.411,2458201.274,0.050563
Kepler-1446,289.42396,46.72617,kepler1446b,162.0,0.68996783,,4865.0,Transit,12.411,2458201.964,0.050563
Kepler-994,289.072225,47.40707,kepler994b,170.0,1.15116651,,3934.0,Transit,14.44,2458202.161,0.049504
Kepler-1053,291.418635,39.127415,kepler1053b,171.0,2.41435165,,4529.0,Transit,13.156,2458203.074,0.051033
Kepler-10,285.679394,50.241299,kepler10b,173.0,0.837491,0.0145,5627.0,Transit,10.94,2458203.153,
XO-3,65.469581,57.817181,xo3b,174.0,3.1915239,11.79,6429.0,Transit,,2458203.1,0.1245
KELT-3,148.643324,40.388069,kelt3b,178.0,2.7033904,1.477,6306.0,Transit,9.873,2458202.414,0.1313
