Tr_midp_date,Egress,Ingress,pl_hostname,ra,dec,Planet Name,st_dist,pl_orbper,pl_bmassj,st_teff,pl_discmethod,st_optmag,tr_midp_jd,pl_trandur
2018-03-25 08:53:16.800001,2018-03-25 09:21:37.799988,2018-03-25 08:24:55.800014,HD 219134,23.221382666666667,57.168354,hd219134b,6.55,3.092926,0.01491,4699.0,Radial Velocity,5.57,2458203.037,0.039375
2018-03-25 10:24:00.000008,2018-03-25 10:45:11.160001,2018-03-25 10:02:48.840015,TRAPPIST-1,23.1081342,-5.041274,trappist1c,12.1,2.4218233,0.00434,2559.0,Transit,18.8,2458203.1,0.029425
2018-03-25 13:51:21.599995,2018-03-25 14:19:57.901449,2018-03-25 13:22:45.298542,TRAPPIST-1,23.1081342,-5.041274,trappist1e,12.1,6.099615,0.00195,2559.0,Transit,18.8,2458203.244,0.0397292
2018-03-25 16:45:36.000019,2018-03-25 16:45:36.000019,2018-03-25 16:45:36.000019,55 Cnc,8.8766144,28.330818,55cnce,12.53,0.736539,0.02542,5196.0,Radial Velocity,5.96,2458203.365,0.0
2018-03-25 16:45:36.000019,2018-03-25 16:45:36.000019,2018-03-25 16:45:36.000019,55 Cnc,8.8766144,28.330818,55cnce,12.53,0.736539,0.02542,5196.0,Radial Velocity,5.96,2458203.365,0.0
2018-03-25 15:46:33.600002,2018-03-25 16:55:27.840020,2018-03-25 14:37:39.359984,HAT-P-11,19.84729006666667,48.080856,hatp11b,38.0,4.8878162,0.081,4780.0,Transit,9.472,2458203.324,0.0957
2018-03-25 07:22:33.599994,2018-03-25 07:22:33.599994,2018-03-25 07:22:33.599994,Kepler-42,19.481268866666667,44.61916,kepler42b,38.7,1.2137672,1e+20,3068.0,Transit,16.124,2458202.974,0.0
2018-03-25 07:22:33.599994,2018-03-25 07:22:33.599994,2018-03-25 07:22:33.599994,Kepler-42,19.481268866666667,44.61916,kepler42b,38.7,1.2137672,1e+20,3068.0,Transit,16.124,2458202.974,0.0
2018-03-25 12:17:45.600000,2018-03-25 12:37:07.679998,2018-03-25 11:58:23.520003,Kepler-446,18.816680466666664,44.921102,kepler446b,120.0,1.565409,1e+20,3359.0,Transit,16.257,2458203.179,0.0269
2018-03-25 06:01:55.200005,2018-03-25 06:01:55.200005,2018-03-25 06:01:55.200005,Kepler-68,19.402153666666667,49.040272,kepler68b,135.0,5.39875,0.01878,5793.0,Transit,9.99,2458202.918,0.0
2018-03-25 07:55:40.799998,2018-03-25 08:57:57.600007,2018-03-25 06:53:23.999989,HAT-P-3,13.739608066666667,48.028667,hatp3b,138.0,2.899736,0.591,5185.0,Transit,11.577,2458202.997,0.0865
2018-03-25 11:04:19.200002,2018-03-25 11:58:36.480021,2018-03-25 10:10:01.919983,WASP-52,23.2329832,8.761262,wasp52b,140.0,1.7497798,0.46,5000.0,Transit,12.0,2458203.128,0.0754
2018-03-25 11:30:14.400016,2018-03-25 12:42:32.401471,2018-03-25 10:17:56.398560,WASP-156,2.1854472,2.418,wasp156b,140.0,3.836169,0.128,4910.0,Transit,11.6,2458203.146,0.1004167
2018-03-25 11:04:19.200002,2018-03-25 11:58:36.480021,2018-03-25 10:10:01.919983,WASP-52,23.2329832,8.761262,wasp52b,140.0,1.7497798,0.46,5000.0,Transit,12.0,2458203.128,0.0754
2018-03-25 08:41:45.600008,2018-03-25 09:14:53.145615,2018-03-25 08:08:38.054402,Kepler-732,18.915468066666666,45.958771,kepler732c,150.0,0.89304124,1e+20,3631.0,Transit,15.073,2458203.029,0.046008
2018-03-25 08:41:45.600008,2018-03-25 09:14:53.145615,2018-03-25 08:08:38.054402,Kepler-732,18.915468066666666,45.958771,kepler732c,150.0,0.89304124,1e+20,3631.0,Transit,15.073,2458203.029,0.046008
2018-03-25 08:41:45.600008,2018-03-25 09:14:53.145615,2018-03-25 08:08:38.054402,Kepler-732,18.915468066666666,45.958771,kepler732c,150.0,0.89304124,1e+20,3631.0,Transit,15.073,2458203.029,0.046008
2018-03-25 09:46:33.600002,2018-03-25 10:23:18.225622,2018-03-25 09:09:48.974382,Kepler-1053,19.427909,39.127415,kepler1053b,171.0,2.41435165,1e+20,4529.0,Transit,13.156,2458203.074,0.051033
2018-03-25 11:40:19.199994,2018-03-25 11:40:19.199994,2018-03-25 11:40:19.199994,Kepler-10,19.045292933333332,50.241299,kepler10b,173.0,0.837491,0.0145,5627.0,Transit,10.94,2458203.153,0.0
2018-03-25 10:24:00.000008,2018-03-25 11:53:38.400005,2018-03-25 08:54:21.600012,XO-3,4.364638733333334,57.817181,xo3b,174.0,3.1915239,11.79,6429.0,Transit,1e+20,2458203.1,0.1245
2018-03-25 08:05:45.600016,2018-03-25 08:47:29.774404,2018-03-25 07:24:01.425629,Kepler-1019,18.914501733333335,47.204449,kepler1019b,198.0,1.41122985,1e+20,4433.0,Transit,13.59,2458203.004,0.057967
2018-03-25 12:42:14.400000,2018-03-25 14:05:24.000013,2018-03-25 11:19:04.799986,WASP-3,18.57545286666667,35.661533,wasp3b,220.0,1.8468355,1.98,6400.0,Transit,10.5,2458203.196,0.1155
2018-03-25 11:53:16.800001,2018-03-25 13:47:32.639982,2018-03-25 09:59:00.960020,HAT-P-8,22.869404466666666,35.447109,hatp8b,230.0,3.0763776,1.52,6200.0,Transit,10.3,2458203.162,0.1587
2018-03-25 14:59:02.400017,2018-03-25 16:30:54.720028,2018-03-25 13:27:10.080007,HAT-P-16,0.6382120666666666,42.463078,hatp16b,235.0,2.77596,4.193,6158.0,Transit,10.812,2458203.291,0.1276
2018-03-25 07:19:40.800006,2018-03-25 08:10:15.600000,2018-03-25 06:29:06.000011,Kepler-988,19.380559066666667,42.237251,kepler988b,248.0,17.76080053,1e+20,4005.0,Transit,15.22,2458202.972,0.07025
2018-03-25 10:08:09.600013,2018-03-25 11:31:05.808025,2018-03-25 08:45:13.392001,KELT-1,0.024142800000000002,39.383808,kelt1b,262.0,1.217514,27.23,6518.0,Transit,10.701,2458203.089,0.11519
2018-03-25 05:51:50.399987,2018-03-25 06:42:52.027194,2018-03-25 05:00:48.772779,Kepler-1339,18.916386266666667,48.373394,kepler1339b,267.0,1.34155513,1e+20,5586.0,Transit,12.299,2458202.911,0.070871
2018-03-25 07:58:33.599986,2018-03-25 09:53:12.292790,2018-03-25 06:03:54.907182,Kepler-992,18.962018666666665,47.641785,kepler992b,268.0,20.16034462,1e+20,4944.0,Transit,13.389,2458202.999,0.159229
2018-03-25 12:17:45.600000,2018-03-25 12:52:38.467184,2018-03-25 11:42:52.732817,Kepler-1203,19.5182256,44.178127,kepler1203b,269.0,0.58800076,1e+20,4105.0,Transit,14.934,2458203.179,0.048446
2018-03-25 12:17:45.600000,2018-03-25 12:52:38.467184,2018-03-25 11:42:52.732817,Kepler-1203,19.5182256,44.178127,kepler1203b,269.0,0.58800076,1e+20,4105.0,Transit,14.934,2458203.179,0.048446
2018-03-25 08:38:52.799980,2018-03-25 09:14:48.307178,2018-03-25 08:02:57.292782,Kepler-960,18.763810866666667,46.746468,kepler960b,298.0,3.12686223,1e+20,4755.0,Transit,13.884,2458203.027,0.049896
2018-03-25 08:40:19.199994,2018-03-25 10:59:38.399996,2018-03-25 06:20:59.999992,KELT-18,14.434934466666666,59.444275,kelt18b,311.0,2.8717518,1.18,6670.0,Transit,10.117,2458203.028,0.1935
2018-03-25 11:41:45.600008,2018-03-25 12:14:59.280001,2018-03-25 11:08:31.920016,Kepler-808,19.439606,48.445614,kepler808b,321.0,0.63133235,1e+20,4653.0,Transit,14.285,2458203.154,0.04615
2018-03-25 11:41:45.600008,2018-03-25 12:14:59.280001,2018-03-25 11:08:31.920016,Kepler-808,19.439606,48.445614,kepler808b,321.0,0.63133235,1e+20,4653.0,Transit,14.285,2458203.154,0.04615
